short_name,overall,DifferenceFromMin,DifferenceFromMax,AverageOverall,RatingCategory
Estanis,66,19,25,66.006,Average Rated
S. Rogers,66,19,25,66.006,Average Rated
J. Cedeño,66,19,25,66.006,Average Rated
J. Ramos,66,19,25,66.006,Average Rated
J. Lavega,66,19,25,66.006,Average Rated
O. Uddenäs,66,19,25,66.006,Average Rated
A. Chopitea,66,19,25,66.006,Average Rated
J. Fazzini,66,19,25,66.006,Average Rated
J. Heinze,66,19,25,66.006,Average Rated
I. Rodríguez,66,19,25,66.006,Average Rated
I. Anderson,66,19,25,66.006,Average Rated
V. Dican,66,19,25,66.006,Average Rated
S. Etchebarne,66,19,25,66.006,Average Rated
J. De Los Santos,66,19,25,66.006,Average Rated
D. Kasius,66,19,25,66.006,Average Rated
M. Ebiowei,66,19,25,66.006,Average Rated
S. Castro,66,19,25,66.006,Average Rated
N. Veratschnig,66,19,25,66.006,Average Rated
G. Vidović,66,19,25,66.006,Average Rated
I. Maestro Puch,66,19,25,66.006,Average Rated
J. Ragen,66,19,25,66.006,Average Rated
C. Ravych,66,19,25,66.006,Average Rated
M. Dekker,66,19,25,66.006,Average Rated
L. Cvek,66,19,25,66.006,Average Rated
N. Weiper,66,19,25,66.006,Average Rated
A. Ojeda,66,19,25,66.006,Average Rated
J. Löffelsend,66,19,25,66.006,Average Rated
B. Mansilla,66,19,25,66.006,Average Rated
G. Nardelli,66,19,25,66.006,Average Rated
J. Ordoñez,66,19,25,66.006,Average Rated
A. Iovine,66,19,25,66.006,Average Rated
J. Bennette,66,19,25,66.006,Average Rated
M. Muntari,66,19,25,66.006,Average Rated
S. Oukhadda,66,19,25,66.006,Average Rated
Iván Gil,66,19,25,66.006,Average Rated
Álex Pastor,66,19,25,66.006,Average Rated
D. Murkin,66,19,25,66.006,Average Rated
D. Gómez,66,19,25,66.006,Average Rated
Y. Baldé,66,19,25,66.006,Average Rated
M. Neubauer,66,19,25,66.006,Average Rated
S. Sahin,66,19,25,66.006,Average Rated
A. Buttaro,66,19,25,66.006,Average Rated
S. Mino,66,19,25,66.006,Average Rated
S. Ltaief,66,19,25,66.006,Average Rated
J. Gorenc,66,19,25,66.006,Average Rated
J. Mina,66,19,25,66.006,Average Rated
H. Sylla,66,19,25,66.006,Average Rated
M. Dorval,66,19,25,66.006,Average Rated
R. Schifferl,66,19,25,66.006,Average Rated
Dylan Tavares,66,19,25,66.006,Average Rated
N. Thomas,66,19,25,66.006,Average Rated
M. de Gevigney,66,19,25,66.006,Average Rated
E. Yeboah,66,19,25,66.006,Average Rated
L. Souto,66,19,25,66.006,Average Rated
E. Larrosa,66,19,25,66.006,Average Rated
Ž. Zaletel,66,19,25,66.006,Average Rated
J. Kadak,66,19,25,66.006,Average Rated
N. Sadaoui,66,19,25,66.006,Average Rated
N. Benbouali,66,19,25,66.006,Average Rated
A. Mazilu,66,19,25,66.006,Average Rated
Miguel Nóbrega,66,19,25,66.006,Average Rated
D. Grujčić,66,19,25,66.006,Average Rated
N. Prelec,66,19,25,66.006,Average Rated
Matheus Pereira,66,19,25,66.006,Average Rated
Adu Ares,66,19,25,66.006,Average Rated
D. Gomis,66,19,25,66.006,Average Rated
N. Lella,66,19,25,66.006,Average Rated
D. Håkans,66,19,25,66.006,Average Rated
A. Çakar,66,19,25,66.006,Average Rated
Y. Medina,66,19,25,66.006,Average Rated
Y. Asprilla,66,19,25,66.006,Average Rated
L. D'Andrea,66,19,25,66.006,Average Rated
Joseda Álvarez,66,19,25,66.006,Average Rated
M. N'Diaye,66,19,25,66.006,Average Rated
C. Manzoki,66,19,25,66.006,Average Rated
I. Beka,66,19,25,66.006,Average Rated
D. Diop,66,19,25,66.006,Average Rated
Diego Sánchez,66,19,25,66.006,Average Rated
K. Keben,66,19,25,66.006,Average Rated
D. Luna,66,19,25,66.006,Average Rated
Né Lopes,66,19,25,66.006,Average Rated
K. Lopez,66,19,25,66.006,Average Rated
M. Abaldo,66,19,25,66.006,Average Rated
M. Peinipil,66,19,25,66.006,Average Rated
A. Toledo,66,19,25,66.006,Average Rated
J. Domina,66,19,25,66.006,Average Rated
M. Rocha,66,19,25,66.006,Average Rated
A. Ferrari,66,19,25,66.006,Average Rated
N. Covic,66,19,25,66.006,Average Rated
D. García,66,19,25,66.006,Average Rated
Basilio Ndong,66,19,25,66.006,Average Rated
I. Hesar,66,19,25,66.006,Average Rated
K. Valencia,66,19,25,66.006,Average Rated
V. Djukanović,66,19,25,66.006,Average Rated
F. Espinoza,66,19,25,66.006,Average Rated
F. Bamgboye,66,19,25,66.006,Average Rated
N. Štulić,66,19,25,66.006,Average Rated
V. Depietri,66,19,25,66.006,Average Rated
E. Saad,66,19,25,66.006,Average Rated
Kiki Silva,66,19,25,66.006,Average Rated
J. Alfaro,66,19,25,66.006,Average Rated
M. Barrios,66,19,25,66.006,Average Rated
J. Páez,66,19,25,66.006,Average Rated
J. Paredes,66,19,25,66.006,Average Rated
M. Zalazar,66,19,25,66.006,Average Rated
D. Yokota,66,19,25,66.006,Average Rated
E. Zorrilla,66,19,25,66.006,Average Rated
F. García,66,19,25,66.006,Average Rated
J. Millán,66,19,25,66.006,Average Rated
E. López,66,19,25,66.006,Average Rated
João Marques,66,19,25,66.006,Average Rated
A. Ascues,66,19,25,66.006,Average Rated
M. Saravia,66,19,25,66.006,Average Rated
H. Touati,66,19,25,66.006,Average Rated
G. Gocholeishvili,66,19,25,66.006,Average Rated
D. Kryskiv,66,19,25,66.006,Average Rated
Álex Calvo,66,19,25,66.006,Average Rated
C. Bonsu Baah,66,19,25,66.006,Average Rated
Mascarenhas,66,19,25,66.006,Average Rated
L. Camara,66,19,25,66.006,Average Rated
M. Langstaff,66,19,25,66.006,Average Rated
J. van Duiven,66,19,25,66.006,Average Rated
Y. Taha,66,19,25,66.006,Average Rated
David Castro,66,19,25,66.006,Average Rated
M. Sarr,66,19,25,66.006,Average Rated
D. Balestrero,66,19,25,66.006,Average Rated
Madson,66,19,25,66.006,Average Rated
R. van Bommel,66,19,25,66.006,Average Rated
M. Seidl,66,19,25,66.006,Average Rated
I. Olawoyin,66,19,25,66.006,Average Rated
B. Keser,66,19,25,66.006,Average Rated
Ronald Pereira,66,19,25,66.006,Average Rated
F. Bergonzi,66,19,25,66.006,Average Rated
R. Ghrieb,66,19,25,66.006,Average Rated
F. Mughe,66,19,25,66.006,Average Rated
A. Fábry,66,19,25,66.006,Average Rated
T. Barry,66,19,25,66.006,Average Rated
R. Shlomo,66,19,25,66.006,Average Rated
J. Omorwa,66,19,25,66.006,Average Rated
D. Puclin,66,19,25,66.006,Average Rated
K. Shinga,66,19,25,66.006,Average Rated
K. Haveri,66,19,25,66.006,Average Rated
Igor Formiga,66,19,25,66.006,Average Rated
A. Khusanov,66,19,25,66.006,Average Rated
Cédric,66,19,25,66.006,Average Rated
O. Kaschuk,66,19,25,66.006,Average Rated
I. Babadi,66,19,25,66.006,Average Rated
João Muniz,66,19,25,66.006,Average Rated
D. Varešanović,66,19,25,66.006,Average Rated
Kayque,66,19,25,66.006,Average Rated
N. Siega,66,19,25,66.006,Average Rated
S. Horemans,66,19,25,66.006,Average Rated
S. Smith,66,19,25,66.006,Average Rated
M. Butean,66,19,25,66.006,Average Rated
D. Jones,66,19,25,66.006,Average Rated
Seo Young Jae,66,19,25,66.006,Average Rated
C. Karayel,66,19,25,66.006,Average Rated
S. Ganvoula,66,19,25,66.006,Average Rated
A. Krešić,66,19,25,66.006,Average Rated
K. Wilson,66,19,25,66.006,Average Rated
W. O'Hora,66,19,25,66.006,Average Rated
A. Morley,66,19,25,66.006,Average Rated
T. Alarcón,66,19,25,66.006,Average Rated
T. Muyumba,66,19,25,66.006,Average Rated
E. Embleton,66,19,25,66.006,Average Rated
P. Clement,66,19,25,66.006,Average Rated
B. Woodburn,66,19,25,66.006,Average Rated
M. Borgnino,66,19,25,66.006,Average Rated
F. Götze,66,19,25,66.006,Average Rated
Adrián Diéguez,66,19,25,66.006,Average Rated
Kim Jin Ya,66,19,25,66.006,Average Rated
N. Zalazar,66,19,25,66.006,Average Rated
Luis Muñoz,66,19,25,66.006,Average Rated
M. Mehlem,66,19,25,66.006,Average Rated
J. Torres,66,19,25,66.006,Average Rated
F. Mosquera,66,19,25,66.006,Average Rated
M. Wilks,66,19,25,66.006,Average Rated
Cris Salvador,66,19,25,66.006,Average Rated
Y. Severin,66,19,25,66.006,Average Rated
J. Nerwinski,66,19,25,66.006,Average Rated
A. Abdallah,66,19,25,66.006,Average Rated
C. Durkin,66,19,25,66.006,Average Rated
F. Rogić,66,19,25,66.006,Average Rated
L. Vido,66,19,25,66.006,Average Rated
O. Velanas,66,19,25,66.006,Average Rated
M. Harris,66,19,25,66.006,Average Rated
L. Ritzka,66,19,25,66.006,Average Rated
S. Hanca,66,19,25,66.006,Average Rated
André Luís,66,19,25,66.006,Average Rated
Kim Dong Min,66,19,25,66.006,Average Rated
L. Wales,66,19,25,66.006,Average Rated
S. Raggett,66,19,25,66.006,Average Rated
Luis Perea,66,19,25,66.006,Average Rated
M. Chajia,66,19,25,66.006,Average Rated
H. Al Shamrani,66,19,25,66.006,Average Rated
S. Mai,66,19,25,66.006,Average Rated
D. Wiebe,66,19,25,66.006,Average Rated
Klaus,66,19,25,66.006,Average Rated
M. Bär,66,19,25,66.006,Average Rated
M. Schröter,66,19,25,66.006,Average Rated
R. Dadashov,66,19,25,66.006,Average Rated
T. Salman,66,19,25,66.006,Average Rated
E. Gaggi,66,19,25,66.006,Average Rated
J. Jugas,66,19,25,66.006,Average Rated
O. Kiomourtzoglou,66,19,25,66.006,Average Rated
Delmás,66,19,25,66.006,Average Rated
Dani Morer,66,19,25,66.006,Average Rated
R. Bushiri,66,19,25,66.006,Average Rated
A. Pululu,66,19,25,66.006,Average Rated
D. Avounou,66,19,25,66.006,Average Rated
V. Jensen,66,19,25,66.006,Average Rated
D. Frieser,66,19,25,66.006,Average Rated
F. Flecker,66,19,25,66.006,Average Rated
C. Kablan,66,19,25,66.006,Average Rated
K. Appin,66,19,25,66.006,Average Rated
J. Pius,66,19,25,66.006,Average Rated
M. Baku,66,19,25,66.006,Average Rated
S. Hughes,66,19,25,66.006,Average Rated
T. Bayliss,66,19,25,66.006,Average Rated
M. Baidoo,66,19,25,66.006,Average Rated
I. Young,66,19,25,66.006,Average Rated
M. Biankadi,66,19,25,66.006,Average Rated
M. Raguž,66,19,25,66.006,Average Rated
S. Córdova,66,19,25,66.006,Average Rated
S. Sessegnon,66,19,25,66.006,Average Rated
S. Klaas,66,19,25,66.006,Average Rated
D. Rasak,66,19,25,66.006,Average Rated
João Queirós,66,19,25,66.006,Average Rated
Á. Kecskés,66,19,25,66.006,Average Rated
O. Popescu,66,19,25,66.006,Average Rated
J. Arp,66,19,25,66.006,Average Rated
I. Ljubić,66,19,25,66.006,Average Rated
M. Haile-Selassie,66,19,25,66.006,Average Rated
L. Marseiler,66,19,25,66.006,Average Rated
M. Perg,66,19,25,66.006,Average Rated
Liu Yang,66,19,25,66.006,Average Rated
M. Merghem,66,19,25,66.006,Average Rated
Panutche Camará,66,19,25,66.006,Average Rated
D. Kolovetsios,66,19,25,66.006,Average Rated
I. Wadji,66,19,25,66.006,Average Rated
A. Katránis,66,19,25,66.006,Average Rated
Rayco,66,19,25,66.006,Average Rated
B. Folami,66,19,25,66.006,Average Rated
D. Yearwood,66,19,25,66.006,Average Rated
M. Solini,66,19,25,66.006,Average Rated
M. Ellingsen,66,19,25,66.006,Average Rated
D. Tchamba,66,19,25,66.006,Average Rated
Leonardo Rocha,66,19,25,66.006,Average Rated
Dani Escriche,66,19,25,66.006,Average Rated
L. Pintor,66,19,25,66.006,Average Rated
L. Justiniano,66,19,25,66.006,Average Rated
Fran Manzanara,66,19,25,66.006,Average Rated
Tang Xin,66,19,25,66.006,Average Rated
R. Ordóñez,66,19,25,66.006,Average Rated
H. Knibbs,66,19,25,66.006,Average Rated
S. Pinas,66,19,25,66.006,Average Rated
K. Kabran,66,19,25,66.006,Average Rated
J. Hornkamp,66,19,25,66.006,Average Rated
A. Bamba,66,19,25,66.006,Average Rated
N. Atkinson,66,19,25,66.006,Average Rated
E. Watt,66,19,25,66.006,Average Rated
L. Dietz,66,19,25,66.006,Average Rated
D. Foulon,66,19,25,66.006,Average Rated
O. Skarsem,66,19,25,66.006,Average Rated
A. Thurgate,66,19,25,66.006,Average Rated
J. Lindsey,66,19,25,66.006,Average Rated
C. Wright,66,19,25,66.006,Average Rated
A. Gryszkiewicz,66,19,25,66.006,Average Rated
T. Buitink,66,19,25,66.006,Average Rated
C. Brown,66,19,25,66.006,Average Rated
J. van der Werff,66,19,25,66.006,Average Rated
L. Fraser,66,19,25,66.006,Average Rated
T. Domgjoni,66,19,25,66.006,Average Rated
A. Sørensen,66,19,25,66.006,Average Rated
N. Ferguson,66,19,25,66.006,Average Rated
A. Al Hassan,66,19,25,66.006,Average Rated
K. Kesgin,66,19,25,66.006,Average Rated
L. Kamberi,66,19,25,66.006,Average Rated
M. Viviani,66,19,25,66.006,Average Rated
Zhong Yihao,66,19,25,66.006,Average Rated
Elves Baldé,66,19,25,66.006,Average Rated
A. Abeid,66,19,25,66.006,Average Rated
Y. Kobayashi,66,19,25,66.006,Average Rated
O. Pikhalyonok,66,19,25,66.006,Average Rated
L. Mai,66,19,25,66.006,Average Rated
N. Fröling,66,19,25,66.006,Average Rated
T. Richards,66,19,25,66.006,Average Rated
C. Braun,66,19,25,66.006,Average Rated
Lisandro Semedo,66,19,25,66.006,Average Rated
J. Stroud,66,19,25,66.006,Average Rated
J. Meier,66,19,25,66.006,Average Rated
Fernando Andrade,66,19,25,66.006,Average Rated
P. Ouaneh,66,19,25,66.006,Average Rated
C. Abi,66,19,25,66.006,Average Rated
B. Nygren,66,19,25,66.006,Average Rated
Borja Garcés,66,19,25,66.006,Average Rated
L. Kerrigan,66,19,25,66.006,Average Rated
A. Mucolli,66,19,25,66.006,Average Rated
Park Soo Il,66,19,25,66.006,Average Rated
M. Bassouamina,66,19,25,66.006,Average Rated
B. Stillhart,66,19,25,66.006,Average Rated
J. Łabojko,66,19,25,66.006,Average Rated
P. Schmidt,66,19,25,66.006,Average Rated
A. Yıldırım,66,19,25,66.006,Average Rated
É. Vandenabeele,66,19,25,66.006,Average Rated
A. Rossipal,66,19,25,66.006,Average Rated
F. Sgarbi,66,19,25,66.006,Average Rated
C. Forino,66,19,25,66.006,Average Rated
A. Marin,66,19,25,66.006,Average Rated
A. Fein,66,19,25,66.006,Average Rated
R. Ramírez,66,19,25,66.006,Average Rated
H. Sy,66,19,25,66.006,Average Rated
M. Pfeifer,66,19,25,66.006,Average Rated
K. Kaïboué,66,19,25,66.006,Average Rated
E. Zambataro,66,19,25,66.006,Average Rated
M. Rakoczy,66,19,25,66.006,Average Rated
E. Erhahon,66,19,25,66.006,Average Rated
V. Damascan,66,19,25,66.006,Average Rated
E. Linthorst,66,19,25,66.006,Average Rated
S. Beusnard,66,19,25,66.006,Average Rated
A. Schott,66,19,25,66.006,Average Rated
Carlos Vicente,66,19,25,66.006,Average Rated
Pol Moreno,66,19,25,66.006,Average Rated
G. Compagnucci,66,19,25,66.006,Average Rated
J. Key,66,19,25,66.006,Average Rated
N. Opoku,66,19,25,66.006,Average Rated
G. Kilama,66,19,25,66.006,Average Rated
B. Anderson,66,19,25,66.006,Average Rated
M. Insaurralde,66,19,25,66.006,Average Rated
A. Gürleyen,66,19,25,66.006,Average Rated
Aloísio,66,19,25,66.006,Average Rated
M. Venturi,66,19,25,66.006,Average Rated
G. Henriksson,66,19,25,66.006,Average Rated
C. Ortiz,66,19,25,66.006,Average Rated
F. Carstens,66,19,25,66.006,Average Rated
Y. Kitala,66,19,25,66.006,Average Rated
M. Ross,66,19,25,66.006,Average Rated
H. Hassan,66,19,25,66.006,Average Rated
B. Tsonev,66,19,25,66.006,Average Rated
L. Del Pino Mago,66,19,25,66.006,Average Rated
Jorge Mier,66,19,25,66.006,Average Rated
A. Perea,66,19,25,66.006,Average Rated
J. Weir,66,19,25,66.006,Average Rated
E. Vega,66,19,25,66.006,Average Rated
K. Askildsen,66,19,25,66.006,Average Rated
N. Djouahra,66,19,25,66.006,Average Rated
S. Kelly,66,19,25,66.006,Average Rated
P. Will,66,19,25,66.006,Average Rated
J. Sinisterra,66,19,25,66.006,Average Rated
B. Krasniqi,66,19,25,66.006,Average Rated
I. Vukotić,66,19,25,66.006,Average Rated
K. Etete,66,19,25,66.006,Average Rated
A. Nalić,66,19,25,66.006,Average Rated
S. Bjørshol,66,19,25,66.006,Average Rated
J. Björkengren,66,19,25,66.006,Average Rated
G. Haag,66,19,25,66.006,Average Rated
J. Zwarts,66,19,25,66.006,Average Rated
Javi Mier,66,19,25,66.006,Average Rated
M. Zennaro,66,19,25,66.006,Average Rated
T. Cissokho,66,19,25,66.006,Average Rated
E. Sylvestre,66,19,25,66.006,Average Rated
M. Centurión,66,19,25,66.006,Average Rated
B. Fofana,66,19,25,66.006,Average Rated
O. Holm,66,19,25,66.006,Average Rated
F. Quinteros,66,19,25,66.006,Average Rated
T. Suzuki,66,19,25,66.006,Average Rated
L. Scales,66,19,25,66.006,Average Rated
Ruan,66,19,25,66.006,Average Rated
O. Lebedenko,66,19,25,66.006,Average Rated
Anderson,66,19,25,66.006,Average Rated
S. Juma,66,19,25,66.006,Average Rated
C. Sertel,66,19,25,66.006,Average Rated
J. Nelson,66,19,25,66.006,Average Rated
K. Smith,66,19,25,66.006,Average Rated
K. Mouanga,66,19,25,66.006,Average Rated
H. Dotson,66,19,25,66.006,Average Rated
G. Stensness,66,19,25,66.006,Average Rated
I. Gomis,66,19,25,66.006,Average Rated
L. Ghezali,66,19,25,66.006,Average Rated
J. Nisbet,66,19,25,66.006,Average Rated
B. Nieto,66,19,25,66.006,Average Rated
S. Torres,66,19,25,66.006,Average Rated
M. Căpățînă,66,19,25,66.006,Average Rated
A. Van Hoorenbeeck,66,19,25,66.006,Average Rated
Ș. Vlădoiu,66,19,25,66.006,Average Rated
Filipe Nascimento,66,19,25,66.006,Average Rated
P. Iacob,66,19,25,66.006,Average Rated
A. Mățan,66,19,25,66.006,Average Rated
A. Pitu,66,19,25,66.006,Average Rated
M. Praszelik,66,19,25,66.006,Average Rated
V. Antov,66,19,25,66.006,Average Rated
T. Ballo,66,19,25,66.006,Average Rated
D. Hanslik,66,19,25,66.006,Average Rated
T. Anjorin,66,19,25,66.006,Average Rated
J. Hill,66,19,25,66.006,Average Rated
P. Makuch,66,19,25,66.006,Average Rated
A. Tchaptchet,66,19,25,66.006,Average Rated
C. Conteh,66,19,25,66.006,Average Rated
J. Chougrani,66,19,25,66.006,Average Rated
Y. Ackah,66,19,25,66.006,Average Rated
J. Larsen,66,19,25,66.006,Average Rated
N. Guinness-Walker,66,19,25,66.006,Average Rated
E. Engelhardt,66,19,25,66.006,Average Rated
B. Cespedes,66,19,25,66.006,Average Rated
R. Longman,66,19,25,66.006,Average Rated
M. Noubissi,66,19,25,66.006,Average Rated
E. Lombardo,66,19,25,66.006,Average Rated
J. Gaari,66,19,25,66.006,Average Rated
S. Bakari,66,19,25,66.006,Average Rated
O. Erdoğan,66,19,25,66.006,Average Rated
A. Nollenberger,66,19,25,66.006,Average Rated
O. Bundgaard,66,19,25,66.006,Average Rated
M. Gyamfi,66,19,25,66.006,Average Rated
Pirulo,66,19,25,66.006,Average Rated
C. Costin,66,19,25,66.006,Average Rated
P. Schwarz,66,19,25,66.006,Average Rated
K. Arnstad,66,19,25,66.006,Average Rated
C. Fara,66,19,25,66.006,Average Rated
B. Kramer,66,19,25,66.006,Average Rated
T. Keller,66,19,25,66.006,Average Rated
A. Randell,66,19,25,66.006,Average Rated
M. Jarjué,66,19,25,66.006,Average Rated
G. Cerato,66,19,25,66.006,Average Rated
J. Shaffelburg,66,19,25,66.006,Average Rated
P. Keny,66,19,25,66.006,Average Rated
Nené,66,19,25,66.006,Average Rated
A. Abdallah,66,19,25,66.006,Average Rated
P. Koronkiewicz,66,19,25,66.006,Average Rated
C. Gustafsson,66,19,25,66.006,Average Rated
Manu Justo,66,19,25,66.006,Average Rated
D. Fernández,66,19,25,66.006,Average Rated
G. Cîmpanu,66,19,25,66.006,Average Rated
H. Rafia,66,19,25,66.006,Average Rated
U. Akyol,66,19,25,66.006,Average Rated
R. Hendriks,66,19,25,66.006,Average Rated
A. Francis,66,19,25,66.006,Average Rated
J. Cabal,66,19,25,66.006,Average Rated
P. Yade,66,19,25,66.006,Average Rated
A. Matos,66,19,25,66.006,Average Rated
C. Brym,66,19,25,66.006,Average Rated
Saúl Crespo,66,19,25,66.006,Average Rated
Dani Fernández,66,19,25,66.006,Average Rated
T. Lutonda,66,19,25,66.006,Average Rated
R. Roosken,66,19,25,66.006,Average Rated
R. Mejía,66,19,25,66.006,Average Rated
F. Szymczak,66,19,25,66.006,Average Rated
M. Wędrychowski,66,19,25,66.006,Average Rated
N. Pavan,66,19,25,66.006,Average Rated
K. Pérez,66,19,25,66.006,Average Rated
M. Whittaker,66,19,25,66.006,Average Rated
E. Tagseth,66,19,25,66.006,Average Rated
A. Ouattara,66,19,25,66.006,Average Rated
I. Jansson,66,19,25,66.006,Average Rated
R. Onea,66,19,25,66.006,Average Rated
H. Loucif,66,19,25,66.006,Average Rated
Kwon Hyeok Kyu,66,19,25,66.006,Average Rated
M. González,66,19,25,66.006,Average Rated
M. Benítez,66,19,25,66.006,Average Rated
J. Izquierdo,66,19,25,66.006,Average Rated
E. Busquets,66,19,25,66.006,Average Rated
C. Ibañez,66,19,25,66.006,Average Rated
L. Cundle,66,19,25,66.006,Average Rated
M. Papela,66,19,25,66.006,Average Rated
J. O'Brien,66,19,25,66.006,Average Rated
E. Chávez,66,19,25,66.006,Average Rated
K. Aparicio,66,19,25,66.006,Average Rated
A. Ojeda,66,19,25,66.006,Average Rated
W. Araujo,66,19,25,66.006,Average Rated
R. Manrique,66,19,25,66.006,Average Rated
S. Gutiérrez,66,19,25,66.006,Average Rated
J. Mancín,66,19,25,66.006,Average Rated
Arambarri,66,19,25,66.006,Average Rated
Y. Calleros,66,19,25,66.006,Average Rated
D. Reasco,66,19,25,66.006,Average Rated
C. Makoun,66,19,25,66.006,Average Rated
E. Just,66,19,25,66.006,Average Rated
J. Bell,66,19,25,66.006,Average Rated
J. Espinoza,66,19,25,66.006,Average Rated
J. Quintero,66,19,25,66.006,Average Rated
S. Asan,66,19,25,66.006,Average Rated
L. Shaw,66,19,25,66.006,Average Rated
N. Ogbeta,66,19,25,66.006,Average Rated
D. Rojas,66,19,25,66.006,Average Rated
P. Ba,66,19,25,66.006,Average Rated
Ó. Hernández,66,19,25,66.006,Average Rated
R. Figueroa,66,19,25,66.006,Average Rated
F. Martínez,66,19,25,66.006,Average Rated
A. Boutoutaou,66,19,25,66.006,Average Rated
B. Limbombe,66,19,25,66.006,Average Rated
Y. Badji,66,19,25,66.006,Average Rated
A. Mighten,66,19,25,66.006,Average Rated
J. Montenegro,66,19,25,66.006,Average Rated
M. Tenho,66,19,25,66.006,Average Rated
Benito,66,19,25,66.006,Average Rated
A. Albu,66,19,25,66.006,Average Rated
I. Shkurin,66,19,25,66.006,Average Rated
W. Ibarrola,66,19,25,66.006,Average Rated
N. Morgantini,66,19,25,66.006,Average Rated
D. Díaz,66,19,25,66.006,Average Rated
A. Dumitrescu,66,19,25,66.006,Average Rated
P. Kioso,66,19,25,66.006,Average Rated
J. Nelson,66,19,25,66.006,Average Rated
J. Sosa,66,19,25,66.006,Average Rated
M. Garbett,66,19,25,66.006,Average Rated
S. Jasper,66,19,25,66.006,Average Rated
T. Escalante,66,19,25,66.006,Average Rated
Lobete,66,19,25,66.006,Average Rated
B. Duke,66,19,25,66.006,Average Rated
É. Bocat,66,19,25,66.006,Average Rated
J. Franco,66,19,25,66.006,Average Rated
J. Cruz,66,19,25,66.006,Average Rated
A. Bernhardsson,66,19,25,66.006,Average Rated
Danny Henriques,66,19,25,66.006,Average Rated
G. Quagliata,66,19,25,66.006,Average Rated
A. Timossi Andersson,66,19,25,66.006,Average Rated
L. Le Roux,66,19,25,66.006,Average Rated
K. Chodyna,66,19,25,66.006,Average Rated
J. Mosquera,66,19,25,66.006,Average Rated
Pedro Amador,66,19,25,66.006,Average Rated
Guille Rosas,66,19,25,66.006,Average Rated
E. Penilla,66,19,25,66.006,Average Rated
W. Bøving,66,19,25,66.006,Average Rated
K. Lewis,66,19,25,66.006,Average Rated
D. Mikić,66,19,25,66.006,Average Rated
A. Papetti,66,19,25,66.006,Average Rated
L. King,66,19,25,66.006,Average Rated
A. Forrest,66,19,25,66.006,Average Rated
J. García,66,19,25,66.006,Average Rated
T. Lemperle,66,19,25,66.006,Average Rated
D. Luna,66,19,25,66.006,Average Rated
T. Bech,66,19,25,66.006,Average Rated
J. Gomez,66,19,25,66.006,Average Rated
A. Pantea,66,19,25,66.006,Average Rated
Z. McGraw,66,19,25,66.006,Average Rated
H. Heggheim,66,19,25,66.006,Average Rated
J. Kadile,66,19,25,66.006,Average Rated
O. Traoré,66,19,25,66.006,Average Rated
A. Klynge,66,19,25,66.006,Average Rated
O. Vilhelmsson,66,19,25,66.006,Average Rated
A. Moueffek,66,19,25,66.006,Average Rated
A. Mosór,66,19,25,66.006,Average Rated
Luís Mata,66,19,25,66.006,Average Rated
A. Ajdini,66,19,25,66.006,Average Rated
M. Brescianini,66,19,25,66.006,Average Rated
D. Miculescu,66,19,25,66.006,Average Rated
Weverson,66,19,25,66.006,Average Rated
O. Sørensen,66,19,25,66.006,Average Rated
S. Soumano,66,19,25,66.006,Average Rated
M. Johnston,66,19,25,66.006,Average Rated
D. Huisman,66,19,25,66.006,Average Rated
M. Rundić,66,19,25,66.006,Average Rated
A. Musaba,66,19,25,66.006,Average Rated
F. Medina,66,19,25,66.006,Average Rated
N. Ninua,66,19,25,66.006,Average Rated
B. Arrey-Mbi,66,19,25,66.006,Average Rated
N. Iosifov,66,19,25,66.006,Average Rated
M. Godts,66,19,25,66.006,Average Rated
M. Xantippe,66,19,25,66.006,Average Rated
R. Vita,66,19,25,66.006,Average Rated
G. Ferrarini,66,19,25,66.006,Average Rated
C. Riad,66,19,25,66.006,Average Rated
S. Elisor,66,19,25,66.006,Average Rated
Juanma Bravo,66,19,25,66.006,Average Rated
B. Roux,66,19,25,66.006,Average Rated
J. Navas,66,19,25,66.006,Average Rated
N. Holm,66,19,25,66.006,Average Rated
Miguel Rodríguez,66,19,25,66.006,Average Rated
C. Driouech,66,19,25,66.006,Average Rated
Pablo García,66,19,25,66.006,Average Rated
C. Boukhalfa,66,19,25,66.006,Average Rated
S. Čestić,66,19,25,66.006,Average Rated
M. Fofana,66,19,25,66.006,Average Rated
J. Lawrence,66,19,25,66.006,Average Rated
Pablo Rodríguez,66,19,25,66.006,Average Rated
O. Romeny,66,19,25,66.006,Average Rated
A. Sabella,66,19,25,66.006,Average Rated
A. Sieb,66,19,25,66.006,Average Rated
M. Badamosi,66,19,25,66.006,Average Rated
J. Maher,66,19,25,66.006,Average Rated
T. Leoni,66,19,25,66.006,Average Rated
Á. Campuzano,66,19,25,66.006,Average Rated
M. Kjølø,66,19,25,66.006,Average Rated
M. Lazo,66,19,25,66.006,Average Rated
K. Cabrera,66,19,25,66.006,Average Rated
A. Aceves,66,19,25,66.006,Average Rated
C. Cabello,66,19,25,66.006,Average Rated
P. Liza,66,19,25,66.006,Average Rated
D. Svensson,66,19,25,66.006,Average Rated
L. Schuler,66,19,25,66.006,Average Rated
O. Noronha,66,19,25,66.006,Average Rated
J. González,66,19,25,66.006,Average Rated
W. Lugo,66,19,25,66.006,Average Rated
L. Cano,66,19,25,66.006,Average Rated
Lautaro,66,19,25,66.006,Average Rated
